,LOCATION,TIME,SP_DYN_TFRT_IN,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,SP_POP_GROW,SH_DYN_AIDS_ZS,SP_RUR_TOTL_ZS,NY_GDP_MKTP_CN,NY_GDP_MKTP_CD,NY_GDP_DEFL_ZS,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_PP_CD,NY_GDP_MKTP_PP_CD,XTGOV_IMF,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,SI_POV_DDAY,PA_NUS_PPP,DT_TDS_DECT_GN_ZS,200101,200151,200345,200343,200144,NY_GNP_PCAP_CN,NY_GDP_MKTP_KD,PA_NUS_PPPC_RF,PA_NUS_FCRF,NY_GDP_MKTP_KN,PA_NUS_ATLS,PA_NUS_PRVT_PP,NY_GNP_MKTP_CN,NY_GDP_PCAP_PP_KD,NY_GDP_MKTP_PP_KD,NY_GDP_PCAP_CN,poverty
0,AUS,1970,2.859,71.01854,17.8,1.97019,NA,16.000999999999998,36842000000.0,41261059469.1455,9.16456,7.17218,3299.0373,NA,NA,NA,3270.0,NA,NA,NA,NA,12793.034,1054.644,5767.311,3729.907,2241.172,2911.9693,326841338993.587,NA,0.89286,402005000000.0,0.8929,NA,36420000000.0,NA,NA,2945.7104,False
1,AUS,1971,2.9610000000000003,71.06829,17.4,3.38029,NA,15.84,40304000000.0,45138313360.9587,9.63978,4.00393,3489.0866,NA,NA,NA,3470.0,NA,NA,NA,NA,13033.133,1087.712,5893.590999999999,3763.468,2288.362,3080.85337,339927838396.432,NA,0.8826700000000001,418101000000.0,0.8929,NA,39857000000.0,NA,NA,3115.4054300000003,False
2,AUS,1972,2.7439999999999998,71.45756,16.8,1.83815,NA,15.68,44473000000.0,51954439252.3364,10.23639,3.91269,3942.81242,NA,NA,NA,3880.0,NA,NA,NA,NA,13244.171,1118.063,6017.034000000001,3787.515,2321.5589999999997,3360.32481,353228164174.95795,NA,0.8387,434460000000.0,0.856,NA,44279000000.0,NA,NA,3375.0474299999996,False
3,AUS,1973,2.491,71.84683000000001,16.1,1.52882,NA,15.522,49735000000.0,63721973094.1704,11.15595,2.61382,4762.4793,NA,NA,NA,4640.0,NA,NA,NA,NA,13431.794,1147.129,6138.482,3801.4829999999997,2344.7,3719.2077700000004,362460910647.29297,NA,0.70411,445816000000.0,0.7805,NA,49763000000.0,NA,NA,3717.1151,False
4,AUS,1974,2.397,72.2361,15.3,2.5312200000000002,NA,15.364,60257000000.0,88809137803.9794,12.983460000000001,4.10259,6471.554160000001,NA,NA,NA,5940.0,NA,NA,NA,NA,13605.57,1177.255,6259.19,3803.345,2365.78,4375.86534,377331193579.577,NA,0.69667,464106000000.0,0.6785,NA,60050000000.0,NA,NA,4390.9495,False
5,AUS,1975,2.148,72.62536999999999,14.4,1.23119,NA,15.208,71141000000.0,97147343984.7057,15.124379999999999,1.3503399999999999,6992.538979999999,NA,NA,NA,7210.0,NA,NA,NA,NA,13773.288,1210.08,6380.526999999999,3792.2690000000002,2390.4120000000003,5132.0809,382426440333.90295,NA,0.7638699999999999,470373000000.0,0.7323,NA,71300000000.0,NA,NA,5120.6362899999995,False
6,AUS,1976,2.06,73.01463000000001,13.5,1.00266,NA,15.052999999999999,83213000000.0,104894743476.61699,17.24457,2.58795,7474.862359999999,NA,NA,NA,7860.0,NA,NA,NA,NA,13935.731000000002,1245.5230000000001,6471.571,3795.511,2423.126,5930.30713,392323430718.52203,NA,0.81828,482546000000.0,0.7933,NA,83220000000.0,NA,NA,5929.80831,False
7,AUS,1977,2.0069999999999997,73.34439,12.6,1.12667,NA,14.9,96050000000.0,110174351915.577,19.21365,3.5973800000000002,7763.130770000001,NA,NA,NA,8070.0,NA,NA,NA,NA,14092.548,1284.912,6572.925,3771.2940000000003,2463.417,6720.61725,406436784541.459,NA,0.9018200000000001,499905000000.0,0.8718,NA,95379000000.0,NA,NA,6767.89741,False
8,AUS,1978,1.949,73.67415,11.9,1.16289,NA,14.748,104893000000.0,118309271373.78699,20.79609,0.8967700000000001,8239.95482,NA,NA,NA,8460.0,NA,NA,NA,NA,14249.401000000002,1326.3770000000002,6683.3730000000005,3734.1,2505.551,7217.71835,410081589264.555,NA,0.87366,504388000000.0,0.8866,NA,103632000000.0,NA,NA,7305.54395,False
9,AUS,1979,1.9069999999999998,74.0039,11.3,1.08064,NA,14.597000000000001,118558000000.0,134679086674.997,22.59181,4.0435099999999995,9279.25359,NA,NA,NA,9580.0,NA,NA,NA,NA,14413.0,1366.5770000000002,6801.061,3703.923,2541.439,8068.898990000001,426663296230.325,NA,0.89464,524783000000.0,0.8803,NA,117112000000.0,NA,NA,8168.526940000001,False
10,AUS,1980,1.891,74.33366,10.8,1.21894,NA,14.448,134390000000.0,149738161559.889,24.85454,3.03421,10191.81606,NA,NA,NA,10810.0,NA,NA,NA,NA,14588.405,1403.9560000000001,6926.004,3690.962,2567.4829999999997,9051.388509999999,439609141781.48706,NA,0.8782399999999999,540706000000.0,0.8975,NA,132983000000.0,NA,NA,9147.15491,False
11,AUS,1981,1.935,74.66341,10.4,1.58685,NA,14.3,152105000000.0,176599326599.327,27.222179999999998,3.33786,11830.86532,NA,NA,NA,11850.0,NA,1.0,NA,NA,14777.243,1445.5279999999998,7075.689,3661.5170000000003,2594.509,10156.293959999999,454282671927.02295,NA,0.87021,558754000000.0,0.8613,NA,151603000000.0,NA,NA,10189.9243,False
12,AUS,1982,1.929,74.90488,10.1,1.6675400000000002,NA,14.33,175570000000.0,193721725697.893,30.40963,3.3281199999999997,12763.32361,NA,NA,NA,12060.0,NA,NA,NA,NA,14979.205,1482.099,7224.683000000001,3662.171,2610.252,11347.87192,469401741440.896,NA,0.9858600000000001,577350000000.0,0.9063,NA,172238000000.0,NA,NA,11567.40018,False
13,AUS,1983,1.9240000000000002,75.14634000000001,9.8,1.25055,NA,14.359000000000002,189110000000.0,176986429574.16898,33.498540000000006,-2.2201400000000002,11515.80647,NA,NA,NA,11570.0,NA,NA,NA,NA,15194.641000000001,1517.388,7377.418000000001,3680.586,2619.249,12211.7249,458980347967.632,NA,1.11001,564532000000.0,1.0685,NA,187682000000.0,NA,NA,12304.63921,False
14,AUS,1984,1.84,75.3878,9.6,1.13222,NA,14.389000000000001,213325000000.0,193194167723.23898,36.13265,4.58114,12428.85793,NA,NA,NA,12010.0,NA,NA,NA,NA,15423.166000000001,1557.036,7540.455,3696.3340000000003,2629.341,13560.08749,480006879252.198,NA,1.13952,590394000000.0,1.1042,NA,210778000000.0,NA,NA,13723.944930000001,False
15,AUS,1985,1.923,75.62926999999999,9.3,1.36735,NA,14.418,234915000000.0,180190994860.781,37.80506,5.24921,11434.88989,NA,NA,NA,11990.0,NA,1.0,NA,NA,15663.663,1604.04,7714.727,3700.204,2644.692,14701.16766,505203431376.55,NA,1.4318899999999999,621385000000.0,1.3037,NA,231661000000.0,NA,NA,14907.66595,False
16,AUS,1986,1.868,75.87073000000001,9.1,1.6389900000000002,NA,14.448,260155000000.0,181977476217.124,40.23536,4.05513,11360.52766,NA,NA,NA,12290.0,NA,NA,NA,NA,15917.572,1652.0,7874.249,3725.764,2665.559,15956.275280000002,525690112039.628,NA,1.49597,646583000000.0,1.4296,NA,255594000000.0,NA,NA,16241.01034,False
17,AUS,1987,1.845,76.15171,8.8,1.52099,NA,14.478,285679000000.0,189041159343.568,43.10301,2.50532,11623.35967,NA,NA,NA,12530.0,NA,NA,NA,NA,16183.168,1706.525,8052.856,3731.4809999999998,2692.3059999999996,17245.556109999998,538860353331.04706,NA,1.42818,662782000000.0,1.5112,NA,280480000000.0,NA,NA,17565.22113,False
18,AUS,1988,1.831,76.43268,8.4,1.63621,NA,14.507,323946000000.0,235699941792.78198,46.24926,5.68105,14257.022159999999,NA,NA,106055000000.0,14090.0,NA,NA,NA,NA,16452.255,1764.59,8241.065999999999,3727.402,2719.197,19223.27337,569473298287.268,NA,1.27991,700435000000.0,1.3744,NA,317803000000.0,NA,NA,19594.85126,False
19,AUS,1989,1.838,76.71366,8.0,1.6925700000000001,NA,14.537,367592000000.0,299317645142.904,50.52637,3.8676,17801.26827,NA,NA,115213000000.0,15560.0,NA,0.7,NA,NA,16713.988999999998,1821.691,8424.374,3730.257,2737.667,21254.757830000002,591498228010.3721,NA,1.2646,727525000000.0,1.2281,NA,357386000000.0,NA,NA,21861.737559999998,False
